doc_id,title,author,created,topic,tagging
45cd7f3c.5721363c,Открытие Паралимпийских игр,Латышев Сергей,2004.09.18,спорт,manual
45cd7f3c.1b0d953d,Китайский лидер Цзян Цзэминь уходит в отставку,Бычков Андрей,2004.09.18,политика и общественная жизнь,manual
45cd7f3c.5ef9f43e,Отмечается 63-я годовщина рождения советской гвардии,Останин Сергей,2004.09.18,политика и общественная жизнь,manual
45cd7f3c.22e6533f,Программу «Аншлаг» и ей подобные на государственном телевидении заменят передачи о культуре и специальный детский канал .,Ходий Владимир,2004.09.17,искусство и культура,manual
45cd7f3c.66d2b240,ФИФА выиграла судебную тяжбу за свои права в Интернете,Зайцев Борис,2004.09.15,спорт,manual
45cd7f3c.09791609,"Сейсмологи утверждают, что в КНДР произошло 2 взрыва",неизвестный,2004.09.12,политика и общественная жизнь,manual
45cd7f3c.4d65750a,экономическая мощь КНР превысит американскую,неизвестный,2004.09.11,"бизнес, коммерция, экономика, финансы",manual
45cd7f3c.1151d40b,Израиль вновь обвинил Сирию в пособничестве террористам,неизвестный,2004.09.13,политика и общественная жизнь,manual
45cd7f3c.192a920d,К офшорному аутсорсингу готова треть мировых компаний,неизвестный,2004.09.13,"бизнес, коммерция, экономика, финансы",manual
45cd7f3c.5d16f10e,"В Чечне разбился вертолет Ми-24, один летчик выжил",неизвестный,2004.09.12,криминал,manual
45cd7f3c.7062dc01,"Тысячи людей собрались на Трафальгарской площади , чтобы увидеть новую версию знаменитого фильма «Броненосец Потемкин»",Смотров Александр,2004.09.13,искусство и культура,manual
45cd7f3c.344f3b02,Российская государственная библиотека посвящает свою выставку юбилею Алексея Суворина,неизвестный,2004.09.13,искусство и культура,manual
45cd7f3c.783b9a03,"Виновник ДТП спросил у полиции , как скрыться",неизвестный,2004.09.10,криминал,manual
45cd7f3c.00145805,На полях былых сражений в Новгородской области в понедельник возобновятся поисковые работы,неизвестный,2004.09.13,политика и общественная жизнь,manual
